investor_id,amfi_code,transaction_date,transaction_type,amount_inr,kyc_status
INV100000,120504,2025-06-04,SIP,2448,Verified
INV100000,120504,2025-07-03,SIP,2290,Verified
INV100000,100016,2025-07-15,Lumpsum,5000,Verified
INV100000,120504,2025-07-27,SIP,2376,Verified
INV100000,120504,2025-08-27,SIP,2387,Verified
INV100000,125497,2025-09-24,SIP,2456,Verified
INV100000,125497,2025-10-26,SIP,2384,Verified
INV100000,120504,2025-11-24,SIP,2458,Verified
INV100000,120504,2025-12-27,SIP,2285,Verified
INV100000,125497,2026-01-27,SIP,2426,Verified
INV100000,125497,2026-02-20,SIP,2509,Verified
INV100000,125497,2026-03-19,SIP,2502,Verified
INV100000,120504,2026-04-24,SIP,2471,Verified
INV100000,125497,2026-05-19,SIP,2527,Verified
INV100001,125497,2022-11-04,SIP,1899,Verified
INV100001,120503,2022-12-04,Lumpsum,25000,Verified
INV100001,148569,2022-12-05,SIP,2083,Verified
INV100001,148569,2023-01-11,SIP,2041,Verified
INV100001,125497,2023-02-06,SIP,1787,Verified
INV100001,148569,2023-03-09,SIP,1959,Verified
INV100001,125497,2023-04-05,SIP,1986,Verified
INV100001,125497,2023-05-09,SIP,1985,Verified
INV100001,120841,2023-06-01,Lumpsum,50000,Verified
INV100001,148569,2023-06-03,SIP,1833,Verified
INV100001,125497,2023-07-01,SIP,2028,Verified
INV100001,125497,2023-08-07,SIP,2013,Verified
INV100001,148569,2023-09-09,SIP,1882,Verified
INV100001,148569,2023-10-05,SIP,1928,Verified
INV100001,125497,2023-11-12,SIP,2083,Verified
INV100001,148569,2023-12-08,SIP,2093,Verified
INV100001,148569,2024-01-08,SIP,1996,Verified
INV100001,148569,2024-02-04,SIP,2044,Verified
INV100001,125497,2024-03-03,SIP,1873,Verified
INV100001,125497,2024-04-02,SIP,2157,Verified
INV100001,125497,2024-05-02,SIP,2028,Verified
INV100001,148569,2024-06-06,SIP,2021,Verified
INV100001,125497,2024-07-04,SIP,2042,Verified
INV100001,125497,2024-08-09,SIP,2018,Verified
INV100001,148569,2024-09-03,SIP,2165,Verified
INV100001,125497,2024-10-09,SIP,1983,Verified
INV100002,100016,2023-06-24,SIP,998,Verified
INV100002,120506,2023-07-20,SIP,940,Verified
INV100002,100016,2023-08-15,SIP,1045,Verified
INV100002,119599,2023-08-23,Lumpsum,5000,Verified
INV100002,149322,2025-08-14,Lumpsum,10000,Verified
INV100002,120506,2026-04-29,Lumpsum,25000,Verified
INV100003,148569,2023-06-04,SIP,2022,Pending
INV100003,120503,2023-09-07,SIP,2187,Pending
INV100003,148569,2023-10-04,SIP,1854,Pending
INV100003,118632,2024-10-08,Lumpsum,25000,Pending
INV100003,119551,2025-04-16,Lumpsum,5000,Pending
INV100003,101208,2025-10-01,Lumpsum,25000,Pending
INV100004,120841,2026-02-04,SIP,2766,Verified
INV100004,100016,2026-02-24,Lumpsum,50000,Verified
INV100004,120841,2026-02-28,SIP,2363,Verified
INV100004,120841,2026-03-26,Redemption,5000,Verified
INV100004,120503,2026-04-06,SIP,2354,Verified
INV100004,120841,2026-05-04,SIP,2542,Verified
INV100005,119599,2024-07-28,SIP,1023,Verified
INV100005,119599,2024-08-31,SIP,1007,Verified
INV100005,119599,2024-10-01,SIP,1002,Verified
INV100005,125498,2025-06-09,Lumpsum,5000,Verified
INV100005,102887,2026-03-02,Lumpsum,5000,Verified
INV100006,120503,2024-11-15,SIP,1024,Verified
INV100006,120503,2024-12-08,SIP,1046,Verified
INV100006,120503,2024-12-29,Redemption,10000,Verified
INV100006,120503,2025-01-08,SIP,977,Verified
INV100006,119552,2025-02-08,SIP,1002,Verified
INV100006,119552,2025-03-08,SIP,988,Verified
INV100006,120503,2025-04-07,SIP,1073,Verified
INV100006,119552,2025-04-26,SIP,1008,Verified
INV100006,120503,2025-05-27,SIP,982,Verified
INV100006,120503,2025-06-18,SIP,1086,Verified
INV100006,120503,2025-07-11,SIP,1043,Verified
INV100006,120503,2025-08-08,SIP,948,Verified
INV100006,120503,2025-09-05,SIP,1065,Verified
INV100006,119552,2025-10-07,SIP,1058,Verified
INV100006,120503,2025-11-07,SIP,1087,Verified
INV100006,120503,2025-12-08,SIP,986,Verified
INV100006,119552,2026-01-07,SIP,966,Verified
INV100007,149323,2025-01-04,Lumpsum,5000,Verified
INV100007,120841,2025-01-25,SIP,500,Verified
INV100007,119599,2025-02-19,SIP,537,Verified
INV100007,120841,2025-03-23,SIP,500,Verified
INV100007,119599,2025-04-17,SIP,500,Verified
INV100007,119599,2025-05-14,SIP,507,Verified
INV100007,119599,2025-06-17,SIP,500,Verified
INV100007,120841,2025-07-03,Redemption,20000,Verified
INV100007,120841,2025-07-18,SIP,501,Verified
INV100007,120841,2025-08-18,SIP,500,Verified
INV100007,120503,2025-09-04,Lumpsum,100000,Verified
INV100007,119599,2025-09-14,SIP,514,Verified
INV100007,120841,2025-10-07,SIP,509,Verified
INV100007,119599,2025-11-09,SIP,500,Verified
INV100007,120841,2025-12-12,SIP,505,Verified
INV100007,119599,2026-01-11,SIP,506,Verified
INV100007,120841,2026-02-06,SIP,500,Verified
INV100007,119599,2026-03-09,SIP,524,Verified
INV100007,120841,2026-04-03,SIP,537,Verified
INV100007,119599,2026-04-30,SIP,500,Verified
INV100008,120841,2024-10-15,SIP,1875,Verified
INV100008,120841,2024-10-27,SIP,1921,Verified
INV100008,120841,2024-12-19,SIP,2052,Verified
INV100008,120841,2025-02-07,SIP,1859,Verified
INV100008,120841,2025-02-12,SIP,2005,Verified
INV100008,120841,2025-03-19,SIP,2045,Verified
INV100008,120841,2025-05-17,SIP,2013,Verified
INV100008,120841,2025-07-16,SIP,2022,Verified
INV100008,120841,2025-09-09,SIP,1930,Verified
INV100008,120841,2025-10-20,SIP,2019,Verified
INV100008,120841,2025-12-20,SIP,1961,Verified
INV100008,120841,2026-02-13,SIP,1974,Verified
INV100008,120841,2026-03-27,SIP,2082,Verified
INV100008,120841,2026-04-01,SIP,1871,Verified
INV100008,120841,2026-04-16,SIP,1767,Verified
INV100008,120841,2026-05-17,SIP,2074,Verified
INV100009,101208,2025-06-08,SIP,2009,Verified
INV100009,101208,2025-07-04,SIP,1852,Verified
INV100009,149323,2025-07-14,Lumpsum,10000,Verified
INV100009,101208,2025-07-30,SIP,1965,Verified
INV100009,119551,2025-09-01,SIP,1862,Verified
INV100009,119551,2025-10-02,SIP,1896,Verified
INV100009,101208,2025-10-10,Redemption,10000,Verified
INV100009,101208,2025-11-02,SIP,1817,Verified
INV100009,120842,2025-12-01,Lumpsum,10000,Verified
INV100009,119551,2025-12-05,SIP,1940,Verified
INV100009,100016,2026-03-05,Lumpsum,50000,Verified
INV100010,120843,2024-06-05,SIP,1505,Verified
INV100010,120843,2024-07-05,SIP,1580,Verified
INV100010,149322,2024-07-31,SIP,1499,Verified
INV100010,149322,2024-08-31,SIP,1438,Verified
INV100010,149322,2024-09-23,SIP,1417,Verified
INV100010,149322,2024-10-21,SIP,1479,Verified
INV100010,118635,2024-11-02,Lumpsum,10000,Verified
INV100010,120843,2024-11-27,SIP,1428,Verified
INV100010,120843,2024-12-28,SIP,1470,Verified
INV100010,149322,2025-07-03,Redemption,10000,Verified
INV100010,120843,2025-09-03,Lumpsum,10000,Verified
INV100011,102887,2023-08-20,SIP,2043,Verified
INV100011,119092,2023-09-14,SIP,2061,Verified
INV100011,119092,2023-10-17,SIP,2108,Verified
INV100011,119092,2023-11-17,SIP,2045,Verified
INV100011,119092,2023-12-15,SIP,2093,Verified
INV100011,102887,2024-01-04,SIP,1801,Verified
INV100011,119092,2024-01-26,SIP,2136,Verified
INV100011,119092,2024-02-29,SIP,1850,Verified
INV100011,102887,2024-03-15,SIP,1946,Verified
INV100011,119092,2024-04-26,SIP,1945,Verified
INV100011,102887,2024-05-28,SIP,1844,Verified
INV100011,102887,2024-06-25,SIP,1992,Verified
INV100011,102887,2024-07-28,SIP,2034,Verified
INV100011,102887,2024-08-30,SIP,2089,Verified
INV100011,119092,2024-10-07,SIP,1903,Verified
INV100011,102887,2024-11-01,SIP,1981,Verified
INV100011,102887,2024-12-08,SIP,1956,Verified
INV100011,102887,2025-01-14,SIP,2025,Verified
INV100011,102887,2025-04-05,SIP,1964,Verified
INV100011,119092,2025-05-31,SIP,2045,Verified
INV100011,102887,2025-07-20,SIP,2063,Verified
INV100011,102887,2025-07-28,Redemption,5000,Verified
INV100011,102887,2025-09-18,SIP,1761,Verified
INV100011,102887,2025-11-15,SIP,1832,Verified
INV100011,102887,2026-01-11,SIP,1983,Verified
INV100011,102887,2026-03-15,SIP,1985,Verified
INV100011,120506,2026-03-18,Lumpsum,25000,Verified
INV100011,102887,2026-05-22,SIP,2070,Verified
INV100012,120841,2024-04-05,SIP,1912,Verified
INV100012,120841,2024-05-04,SIP,2033,Verified
INV100012,120841,2024-05-11,Redemption,2000,Verified
INV100012,120841,2024-06-03,SIP,1924,Verified
INV100012,120841,2024-07-07,SIP,2073,Verified
INV100012,120841,2024-08-05,SIP,1935,Verified
INV100012,120841,2024-09-06,SIP,2018,Verified
INV100012,120841,2024-09-28,SIP,1994,Verified
INV100012,120841,2024-10-29,SIP,1911,Verified
INV100012,120841,2024-11-28,SIP,1855,Verified
INV100012,120841,2025-02-15,SIP,2124,Verified
INV100012,120841,2025-04-19,SIP,2036,Verified
INV100012,120841,2025-05-30,SIP,1885,Verified
INV100012,120841,2025-08-01,SIP,1893,Verified
INV100012,120841,2025-10-13,SIP,2199,Verified
INV100012,120841,2025-12-06,SIP,1917,Verified
INV100012,119093,2026-01-04,Lumpsum,10000,Verified
INV100012,120841,2026-02-12,SIP,2161,Verified
INV100012,120841,2026-04-06,SIP,2024,Verified
INV100013,119095,2023-05-08,SIP,2051,Verified
INV100013,119095,2023-06-04,SIP,2127,Verified
INV100013,119095,2023-06-30,SIP,1937,Verified
INV100013,119095,2023-08-01,SIP,2076,Verified
INV100013,119095,2023-09-02,SIP,1832,Verified
INV100013,119095,2023-10-04,SIP,1897,Verified
INV100013,119095,2023-11-04,SIP,1858,Verified
INV100013,119095,2023-12-06,SIP,1920,Verified
INV100013,119095,2023-12-29,SIP,2071,Verified
INV100013,119095,2024-01-29,SIP,1939,Verified
INV100013,119095,2024-03-06,SIP,1956,Verified
INV100013,119095,2024-05-11,SIP,2026,Verified
INV100013,119095,2024-07-09,SIP,2047,Verified
INV100013,119095,2024-08-28,Redemption,10000,Verified
INV100013,119095,2024-09-07,SIP,1959,Verified
INV100013,119095,2024-11-25,SIP,1896,Verified
INV100013,119095,2025-01-05,SIP,2161,Verified
INV100013,119095,2025-04-06,SIP,1960,Verified
INV100013,119095,2025-05-22,SIP,1969,Verified
INV100013,119095,2025-07-24,SIP,1982,Verified
INV100013,119095,2025-09-16,SIP,2057,Verified
INV100013,149323,2025-10-21,Lumpsum,5000,Verified
INV100013,119095,2025-11-26,SIP,1851,Verified
INV100014,149323,2022-09-12,SIP,1638,Verified
INV100014,149323,2022-10-23,SIP,1625,Verified
INV100014,149323,2022-11-14,SIP,1544,Verified
INV100014,149323,2023-01-04,SIP,1435,Verified
INV100014,149323,2023-02-21,SIP,1590,Verified
INV100014,149323,2023-03-31,SIP,1374,Verified
INV100014,149323,2023-05-14,SIP,1433,Verified
INV100014,149323,2023-06-21,SIP,1494,Verified
